CC,defaultDescription,conceptID
altered mental status,ALT MENTAL STATUS,419284004
(B) +DVT,B DVT,128053003-B
(B) ABDOMEN LAC,B Abdomen laceration,283378004-B
(B) ABDOMEN LACERATION,B Abdomen laceration,283378004-B
(B) ANKLE ABSCESS,B Ankle abscess,58196009-B
(B) ANKLE BURN,B Ankle burn,40993007-B
(B) ANKLE CRUSH INJ,B Ankle crush injury,65896005-B
(B) ANKLE CRUSH INJURY,B Ankle crush injury,65896005-B
(B) ANKLE FRACTURE,B Ankle fx,16114001-B
(B) ANKLE FX,B Ankle fx,16114001-B
(B) ANKLE INJ,B Ankle injury,125603006-B
(B) ANKLE INJURY,B Ankle injury,125603006-B
(B) ANKLE LAC,B Ankle laceration,283390002-B
(B) ANKLE LACERATION,B Ankle laceration,283390002-B
(B) ANKLE PAIN,B Ankle pain,247373008-B
(B) ANKLE SWELLING,B Ankle swelling,267039000-B
(B) ARM ABSCESS,B Arm abscess,315597005-B
(B) ARM BURN,B Arm burn,6055000-B
(B) ARM CELLULITIS,B Arm cellulitis,449671007-B
(B) ARM CRUSH INJ,B Arm crush injury,9560007-B
(B) ARM CRUSH INJURY,B Arm crush injury,9560007-B
(B) ARM DVT,B Arm DVT,128054009-B
(B) ARM FRACTURE,B Arm fracture,23406007-B
(B) ARM FX,B Arm fracture,23406007-B
(B) ARM INJ,B Arm injury,127278005-B
(B) ARM INJURY,B Arm injury,127278005-B
(B) ARM LAC,B Arm laceration,283366003-B
(B) ARM LACERATION,B Arm laceration,283366003-B
(B) ARM NUMBNESS,B Arm numbness,298753001-B
(B) ARM PAIN,B Arm pain,102556003-B
(B) ARM REDNESS,B Arm redness,0552bee6c5e811e48aee525400010026-B
(B) ARM SWELLING,B Arm swelling,449618007-B
(B) ARM WEAKNESS,B Arm weakness,6dc81860c5e611e4a6ab525400010026-B
(B) AXILLA ABSCESS,B Axilla abscess,13802001-B
(B) AXILLA BURN,B Axilla burn,84493007-B
